card_id,card_name,card_type,description,effects_on_play,cost,phase_restriction,duration,duration_count,turn_effect,activation_timing,loan_amount,loan_rate,investment_amount,work_cost,money_effect,tick_modifier,draw_cards,discard_cards,target,scope,work_type_restriction
B001,Small Business Loan,B,Low interest loan for initial funding,Apply Loan,500000,Any,Permanent,0,,Immediate,500000,5,0,0,,0,,,Self,Single,
B002,Startup Capital Loan,B,Low interest loan for initial project expenses,Apply Loan,600000,Any,Permanent,0,,Immediate,600000,5,0,0,,0,,,Self,Single,
B003,New Venture Loan,B,Low interest loan for growing projects,Apply Loan,700000,Any,Permanent,0,,Immediate,700000,5,0,0,,0,,,Self,Single,
B004,Small Building Fund,B,Low interest loan for small construction projects,Apply Loan,800000,Any,Permanent,0,,Immediate,800000,5,0,0,,0,,,Self,Single,
B005,Retail Space Loan,B,Low interest loan for retail development,Apply Loan,900000,Any,Permanent,0,,Immediate,900000,5,0,0,,0,,,Self,Single,
B006,Office Project Loan,B,Low interest loan for office renovation,Apply Loan,1000000,Any,Permanent,0,,Immediate,1000000,5,0,0,,0,,,Self,Single,
B007,Residential Renovation Loan,B,Low interest loan for residential renovation,Apply Loan,1100000,Any,Permanent,0,,Immediate,1100000,5,0,0,,0,,,Self,Single,
B008,Commercial Space Loan,B,Low interest loan for commercial properties,Apply Loan,1200000,Any,Permanent,0,,Immediate,1200000,5,0,0,,0,,,Self,Single,
B009,Small Multifamily Loan,B,Low interest loan for small multifamily projects,Apply Loan,1300000,Any,Permanent,0,,Immediate,1300000,5,0,0,,0,,,Self,Single,
B010,Mixed-Use Development Loan,B,Low interest loan for mixed-use development,Apply Loan,1400000,Any,Permanent,0,,Immediate,1400000,5,0,0,,0,,,Self,Single,
B011,Community Bank Loan,B,Low interest loan from community bank,Apply Loan,500000,Any,Permanent,0,,Immediate,500000,5,0,0,,0,,,Self,Single,
B012,Local Developer Funding,B,Low interest loan from local development group,Apply Loan,600000,Any,Permanent,0,,Immediate,600000,5,0,0,,0,,,Self,Single,
B013,Family Office Investment,B,Low interest funding from family office,Apply Loan,700000,Any,Permanent,0,,Immediate,700000,5,0,0,,0,,,Self,Single,
B014,Private Lender Loan,B,Low interest financing from private lender,Apply Loan,800000,Any,Permanent,0,,Immediate,800000,5,0,0,,0,,,Self,Single,
B015,Small Business Administration Loan,B,Low interest SBA backed loan,Apply Loan,900000,Any,Permanent,0,,Immediate,900000,5,0,0,,0,,,Self,Single,
B016,Local Credit Union Financing,B,Low interest credit union loan,Apply Loan,1000000,Any,Permanent,0,,Immediate,1000000,5,0,0,,0,,,Self,Single,
B017,Regional Bank Loan,B,Low interest regional bank financing,Apply Loan,1100000,Any,Permanent,0,,Immediate,1100000,5,0,0,,0,,,Self,Single,
B018,Project Seed Funding,B,Low interest early project funding,Apply Loan,1200000,Any,Permanent,0,,Immediate,1200000,5,0,0,,0,,,Self,Single,
B019,Hometown Bank Loan,B,Low interest hometown bank loan,Apply Loan,1300000,Any,Permanent,0,,Immediate,1300000,5,0,0,,0,,,Self,Single,
B020,Neighborhood Development Loan,B,Low interest neighborhood development financing,Apply Loan,1400000,Any,Permanent,0,,Immediate,1400000,5,0,0,,0,,,Self,Single,
B021,Facade Improvement Loan,B,Low interest loan for building facade updates,Apply Loan,500000,Any,Permanent,0,,Immediate,500000,5,0,0,,0,,,Self,Single,
B022,Historic Preservation Loan,B,Low interest historic building renovation loan,Apply Loan,600000,Any,Permanent,0,,Immediate,600000,5,0,0,,0,,,Self,Single,
B023,Green Building Incentive Loan,B,Low interest loan for sustainable building features,Apply Loan,700000,Any,Permanent,0,,Immediate,700000,5,0,0,,0,,,Self,Single,
B024,Brownfield Redevelopment Loan,B,Low interest loan for brownfield site cleanup and development,Apply Loan,800000,Any,Permanent,0,,Immediate,800000,5,0,0,,0,,,Self,Single,
B025,Main Street Revitalization Loan,B,Low interest loan for main street property improvements,Apply Loan,900000,Any,Permanent,0,,Immediate,900000,5,0,0,,0,,,Self,Single,
B026,Urban Infill Development Loan,B,Low interest loan for urban infill projects,Apply Loan,1000000,Any,Permanent,0,,Immediate,1000000,5,0,0,,0,,,Self,Single,
B027,Affordable Housing Loan,B,Low interest loan for affordable housing components,Apply Loan,1100000,Any,Permanent,0,,Immediate,1100000,5,0,0,,0,,,Self,Single,
B028,Mixed-Income Development Loan,B,Low interest loan for mixed-income projects,Apply Loan,1200000,Any,Permanent,0,,Immediate,1200000,5,0,0,,0,,,Self,Single,
B029,Transit-Oriented Development Loan,B,Low interest loan for transit-adjacent development,Apply Loan,1300000,Any,Permanent,0,,Immediate,1300000,5,0,0,,0,,,Self,Single,
B030,Adaptive Reuse Loan,B,Low interest loan for adaptive reuse projects,Apply Loan,1400000,Any,Permanent,0,,Immediate,1400000,5,0,0,,0,,,Self,Single,
B031,Mid-Size Development Loan,B,Medium interest loan for larger development projects,Apply Loan,1500000,Any,Permanent,0,,Immediate,1500000,10,0,0,,0,,,Self,Single,
