id,term,definition_simple,definition_technical,instructions,category,source,needs_review,aliases,related_terms,image_url,video_url,source_url,instagram_link,last_used_as_wotd
easter-egg,. easter egg,,"This is here to thank all those who inspired, helped and supported me. I tried not to misspell and tried not to forget anyone. In alphabetical order.
Agnieszka Mergo-Bielecka
Filip Bielecki
Helen Ko
Karolina Bielecka
Kasper Bielecki
Kayla Hom
Nicole Bass
Sara Korapati
Stanislawa Cora-Bielecka
Oscar Wormuth
Victoria Reshetnikov
Waclaw Bielecki",,Professionals,game,False,Friends|Thanks|Thank you|Inspire|Help|support|,Friends|Thanks|Thank you|Inspire|Help|support|,,,,,
acris,ACRIS,,"Automated City Register Information System - allows you to search property records and view document images for Manhattan, Queens, Bronx, and Brooklyn from 1966 to the present.",,Agencies,iqarius,False,Automated City Register Information System,dob|bis,https://iqarius.com/wp-content/uploads/2024/12/ACRIS.jpg,,,,
advertising-sign,Advertising Sign,,A sign showing goods or services available somewhere other than where the sign is erected. Largely prohibited in NYC residential areas. Small non-commercial signs (up to 12 sq ft for Sale/Rent) are permitted.,,Legal,iqarius,False,signage,zoning|violation|commercial,,,,,
after-hours-work,After Hours Work,,"Construction or renovation work done before 7:00 AM or after 6:00 PM on weekdays, or anytime on weekends. Requires an After Hours Variance (AHV) permit.",,Processes,iqarius,False,AHV|After Hours Variance,permit|violation,,,,,
alteration,Alteration,,"A construction project that results in a new Certificate of Occupancy. Types: Type I (major CO changes like use conversions), Type II (multiple trades without use change), Type III (minor work like curb cuts). Work that doesn't trigger a new CO is classified as renovation instead.",,Construction,iqarius,False,Alt1|Alt2|Alt3,renovation|permit|certificate-of-occupancy,,,,,
apartment-building,Apartment Building,,"A residential building containing four or more dwelling units, each with access to above-grade common halls, stairs, elevators, and yards.",,Construction,iqarius,False,multifamily|multi-family,residential|dwelling,https://iqarius.com/wp-content/uploads/2025/11/apartment-building-350-260.jpg,,,,
applicant-of-record,Applicant of Record,,A licensed professional like an architect or engineer who files construction plans with the city and ensures work meets all laws and codes.,,Professionals,iqarius,False,AOR,architect|engineer|filing,,,,,
architect,Architect,,"A licensed professional who designs buildings and oversees construction projects. They create drawings, specifications, and ensure designs meet building codes.",,Professionals,iqarius,False,,engineer|contractor|design,,,,,
asbestos,Asbestos,,"A hazardous building material once commonly used for insulation and fireproofing. Inhaling fibers can cause lung cancer, mesothelioma, and asbestosis (effects appear 10-50 years later). Intact asbestos presents minimal danger, but disruption during renovations significantly increases hazards.",,Construction,iqarius,False,,violation|inspection|remediation,https://iqarius.com/wp-content/uploads/2025/12/asbestos.jpg,,,,
attic-renovation,Attic Renovation,,"Converting attic space into habitable living area. Requires proper permits, egress windows, ceiling height, and may require structural reinforcement.",,Construction,iqarius,False,,renovation|permit|alteration,,,,,
audit,Audit,,[AI-DRAFT] A detailed review of construction documents by DOB to verify code compliance. Can result in objections that must be addressed before approval.,,Processes,game,True,,dob|plan-exam|objection,,,,,
bank,Bank,,A financial institution that provides construction loans and mortgages for building projects. Banks underwrite loans based on project risk.,,Finance,game,False,lender,loan|underwriting|investor,,,,,
basement,Basement,,"A floor level partly or fully below ground. In NYC, 'basement' often refers to illegal basement apartments that don't meet code requirements.",,Construction,iqarius,False,,alteration|violation|certificate-of-occupancy,,,,,
bis,BIS,,"Buildings Information System - NYC Department of Buildings' free online tool where anyone can check property details, permits, violations, and complaints.",,Agencies,iqarius,False,Buildings Information System,dob|violation|permit,,,,,
certificate,Certificate,,NYC DOB issues several certificate types: Certificate of Occupancy (CO) confirms code compliance; Temporary CO (TCO) permits occupancy while work is pending; Certificate of Compliance verifies equipment code compliance; Elevator and Boiler Certificates prove inspection compliance.,,Documents,iqarius,False,TCO|Certificate of Compliance,certificate-of-occupancy|inspection|permit,,,,,
certificate-of-correction,Certificate of Correction,,The official document that confirms a violation has been fixed and stops the accumulation of penalties for unresolved violations.,,Documents,iqarius,False,COC,violation|failure-to-comply,,,,,
change-order,Change Order,,"[AI-DRAFT] A modification to a construction contract that changes the scope, cost, or timeline of a project. Often results from unforeseen conditions.",,Finance,game,True,,contractor|negotiation|scope,,,,,
class-of-violation,Class of Violation,,"Categories used to classify DOB violations by severity: Class A (most dangerous, must be fixed immediately), Class B (hazardous), Class C (non-hazardous).",,Legal,iqarius,False,,violation|penalty|failure-to-comply,,,,,
clerk,Clerk,,"[AI-DRAFT] A DOB employee who processes permit applications, maintains records, and handles administrative tasks at the Department of Buildings.",,Professionals,game,True,,dob|permit|filing,,,,,
complaint,Complaint,,"A report filed with NYC agencies about building code issues, unsafe conditions, or illegal construction. Complaints may trigger inspections.",,Processes,iqarius,False,,inspection|violation|dob,,,,,
contractor,Contractor,,"A professional hired to perform construction, repair, remodeling, or additions to buildings. In NYC, contractors working on residences must be licensed.",,Professionals,iqarius,False,general contractor|GC,subcontractor|license|construction,,,,,
demolition-permit,Demolition Permit,,[AI-DRAFT] Official authorization required before tearing down a building or portion of a building. Involves safety reviews and environmental assessments.,,Documents,game,True,,permit|dob|contractor,,,,,
dep,DEP,,"NYC Department of Environmental Protection manages the city's water supply, sewers, wastewater treatment, and environmental rules. DEP can issue violations and fines for homeowner-caused issues like leaks or sewer backups that strain infrastructure.",,Agencies,iqarius,False,Department of Environmental Protection,water|sewer|environmental,https://iqarius.com/wp-content/uploads/2025/12/DEP.jpg,,,,
directive-14,Directive 14,,A DOB enforcement mechanism allowing immediate stop-work orders and penalties for the most serious safety violations on construction sites.,,Legal,iqarius,False,Directive14,swo|violation|safety,,,,,
dob,DOB,,"Department of Buildings - NYC agency that reviews and approves building plans and permits, enforces building codes, licenses construction professionals, conducts inspections, and manages building emergencies. Failing to follow DOB requirements can result in violations, fines, stop-work orders, or eviction.",,Agencies,iqarius,False,Department of Buildings,permit|inspection|violation,https://iqarius.com/wp-content/uploads/2024/11/NYC_DOB.jpg,,,,
