card_id,card_name,card_type,description,effects_on_play,cost,phase_restriction,loan_amount,loan_rate,investment_amount,work_cost
,is_transferable,,,,,,,,,
B001,Small Business Loan,B,Low interest loan for initial funding,Apply Loan,500000,Any,500000,5,,
,false,,,,,,,,,
B002,Startup Capital Loan,B,Low interest loan for initial project expenses,Apply Loan,600000,Any,600000,5,,
,false,,,,,,,,,
B003,New Venture Loan,B,Low interest loan for growing projects,Apply Loan,700000,Any,700000,5,,
,false,,,,,,,,,
B004,Small Building Fund,B,Low interest loan for small construction projects,Apply Loan,800000,Any,800000,5,,
,false,,,,,,,,,
B005,Retail Space Loan,B,Low interest loan for retail development,Apply Loan,900000,Any,900000,5,,
,false,,,,,,,,,
B006,Office Project Loan,B,Low interest loan for office renovation,Apply Loan,1000000,Any,1000000,5,,
,false,,,,,,,,,
B007,Residential Renovation Loan,B,Low interest loan for residential renovation,Apply Loan,1100000,Any,1100000,5,,
,false,,,,,,,,,
B008,Commercial Space Loan,B,Low interest loan for commercial properties,Apply Loan,1200000,Any,1200000,5,,
,false,,,,,,,,,
B009,Small Multifamily Loan,B,Low interest loan for small multifamily projects,Apply Loan,1300000,Any,1300000,5,,
,false,,,,,,,,,
B010,Mixed-Use Development Loan,B,Low interest loan for mixed-use development,Apply Loan,1400000,Any,1400000,5,,
,false,,,,,,,,,
B011,Community Bank Loan,B,Low interest loan from community bank,Apply Loan,500000,Any,500000,5,,
,false,,,,,,,,,
B012,Local Developer Funding,B,Low interest loan from local development group,Apply Loan,600000,Any,600000,5,,
,false,,,,,,,,,
B013,Family Office Investment,B,Low interest funding from family office,Apply Loan,700000,Any,700000,5,,
,false,,,,,,,,,
B014,Private Lender Loan,B,Low interest financing from private lender,Apply Loan,800000,Any,800000,5,,
,false,,,,,,,,,
B015,Small Business Administration Loan,B,Low interest SBA backed loan,Apply Loan,900000,Any,900000,5,,
,false,,,,,,,,,
B016,Local Credit Union Financing,B,Low interest credit union loan,Apply Loan,1000000,Any,1000000,5,,
,false,,,,,,,,,
B017,Regional Bank Loan,B,Low interest regional bank financing,Apply Loan,1100000,Any,1100000,5,,
,false,,,,,,,,,
B018,Project Seed Funding,B,Low interest early project funding,Apply Loan,1200000,Any,1200000,5,,
,false,,,,,,,,,
B019,Hometown Bank Loan,B,Low interest hometown bank loan,Apply Loan,1300000,Any,1300000,5,,
,false,,,,,,,,,
B020,Neighborhood Development Loan,B,Low interest neighborhood development financing,Apply Loan,1400000,Any,1400000,5,,
,false,,,,,,,,,
B021,Facade Improvement Loan,B,Low interest loan for building facade updates,Apply Loan,500000,Any,500000,5,,
,false,,,,,,,,,
B022,Historic Preservation Loan,B,Low interest historic building renovation loan,Apply Loan,600000,Any,600000,5,,
,false,,,,,,,,,
B023,Green Building Incentive Loan,B,Low interest loan for sustainable building features,Apply Loan,700000,Any,700000,5,,
,false,,,,,,,,,
B024,Brownfield Redevelopment Loan,B,Low interest loan for brownfield site cleanup and development,Apply Loan,800000,Any,800000,5,,
,false,,,,,,,,,
B025,Main Street Revitalization Loan,B,Low interest loan for main street property improvements,Apply Loan,900000,Any,900000,5,,
,false,,,,,,,,,
B026,Urban Infill Development Loan,B,Low interest loan for urban infill projects,Apply Loan,1000000,Any,1000000,5,,
,false,,,,,,,,,
B027,Affordable Housing Loan,B,Low interest loan for affordable housing components,Apply Loan,1100000,Any,1100000,5,,
,false,,,,,,,,,
B028,Mixed-Income Development Loan,B,Low interest loan for mixed-income projects,Apply Loan,1200000,Any,1200000,5,,
,false,,,,,,,,,
B029,Transit-Oriented Development Loan,B,Low interest loan for transit-adjacent development,Apply Loan,1300000,Any,1300000,5,,
,false,,,,,,,,,
B030,Adaptive Reuse Loan,B,Low interest loan for adaptive reuse projects,Apply Loan,1400000,Any,1400000,5,,
,false,,,,,,,,,
B031,Mid-Size Development Loan,B,Medium interest loan for larger development projects,Apply Loan,1500000,Any,1500000,10,,
,false,,,,,,,,,
B032,Commercial Construction Loan,B,Medium interest loan for commercial construction,Apply Loan,1750000,Any,1750000,10,,
,false,,,,,,,,,
B033,Mid-Market Office Loan,B,Medium interest loan for office building development,Apply Loan,2000000,Any,2000000,10,,
,false,,,,,,,,,
B034,Community Center Financing,B,Medium interest loan for community center construction,Apply Loan,2250000,Any,2250000,10,,
,false,,,,,,,,,
B035,Mid-Size Retail Complex Loan,B,Medium interest loan for retail development,Apply Loan,2500000,Any,2500000,10,,
,false,,,,,,,,,
B036,Multifamily Housing Loan,B,Medium interest loan for multifamily housing,Apply Loan,2750000,Any,2750000,10,,
,false,,,,,,,,,
B037,Class B Office Renovation Loan,B,Medium interest loan for Class B office renovation,Apply Loan,1500000,Any,1500000,10,,
,false,,,,,,,,,
B038,Mid-Market Hotel Loan,B,Medium interest loan for hotel development,Apply Loan,1750000,Any,1750000,10,,
,false,,,,,,,,,
B039,Medical Office Building Loan,B,Medium interest loan for medical office space,Apply Loan,2000000,Any,2000000,10,,
,false,,,,,,,,,
B040,Professional Office Building Loan,B,Medium interest loan for professional offices,Apply Loan,2250000,Any,2250000,10,,
,false,,,,,,,,,
B041,Shopping Plaza Loan,B,Medium interest loan for shopping plaza development,Apply Loan,2500000,Any,2500000,10,,
,false,,,,,,,,,
B042,Restaurant Development Loan,B,Medium interest loan for restaurant space,Apply Loan,2750000,Any,2750000,10,,
,false,,,,,,,,,
B043,Warehouse Conversion Loan,B,Medium interest loan for warehouse conversions,Apply Loan,1500000,Any,1500000,10,,
,false,,,,,,,,,
B044,Industrial Park Loan,B,Medium interest loan for industrial park development,Apply Loan,1750000,Any,1750000,10,,
,false,,,,,,,,,
B045,Entertainment Venue Loan,B,Medium interest loan for entertainment venues,Apply Loan,2000000,Any,2000000,10,,
,false,,,,,,,,,
B046,Sports Facility Loan,B,Medium interest loan for sports facilities,Apply Loan,2250000,Any,2250000,10,,
,false,,,,,,,,,
B047,Assisted Living Facility Loan,B,Medium interest loan for assisted living development,Apply Loan,2500000,Any,2500000,10,,
,false,,,,,,,,,
B048,Education Building Loan,B,Medium interest loan for educational facilities,Apply Loan,2750000,Any,2750000,10,,
,false,,,,,,,,,
B049,Cultural Center Loan,B,Medium interest loan for cultural centers,Apply Loan,1500000,Any,1500000,10,,
,false,,,,,,,,,
B050,Tourism Development Loan,B,Medium interest loan for tourism-related projects,Apply Loan,1750000,Any,1750000,10,,
,false,,,,,,,,,
B051,Major Project Financing,B,High interest loan for major development projects,Apply Loan,3000000,Any,3000000,15,,
,false,,,,,,,,,
B052,Luxury Development Loan,B,High interest loan for luxury real estate development,Apply Loan,3250000,Any,3250000,15,,
,false,,,,,,,,,
B053,Class A Office Building Loan,B,High interest loan for Class A office construction,Apply Loan,3500000,Any,3500000,15,,
,false,,,,,,,,,
B054,Mixed-Use Tower Financing,B,High interest loan for high-rise mixed-use development,Apply Loan,3750000,Any,3750000,15,,
,false,,,,,,,,,
B055,Urban Mega-Project Loan,B,High interest loan for urban mega-projects,Apply Loan,4000000,Any,4000000,15,,
,false,,,,,,,,,
B056,High-Rise Condominium Loan,B,High interest loan for high-rise condominiums,Apply Loan,3000000,Any,3000000,15,,
,false,,,,,,,,,
B057,Major Retail Development Loan,B,High interest loan for major retail centers,Apply Loan,3250000,Any,3250000,15,,
,false,,,,,,,,,
B058,Convention Center Loan,B,High interest loan for convention center development,Apply Loan,3500000,Any,3500000,15,,
,false,,,,,,,,,
B059,Airport Expansion Loan,B,High interest loan for airport-related development,Apply Loan,3750000,Any,3750000,15,,
,false,,,,,,,,,
B060,Stadium Development Loan,B,High interest loan for stadium projects,Apply Loan,4000000,Any,4000000,15,,
,false,,,,,,,,,
I001,Investment: Local real estate developer seeking to diversify portfolio,I,Local real estate developer seeking to diversify portfolio,Apply Investment,4000000,Any,,,4000000,
,false,,,,,,,,,
I002,Investment: Tech entrepreneur looking for tangible investments,I,Tech entrepreneur looking for tangible investments,Apply Investment,4500000,Any,,,4500000,
,false,,,,,,,,,
I003,Investment: Family office interested in long-term stable returns,I,Family office interested in long-term stable returns,Apply Investment,5000000,Any,,,5000000,
,false,,,,,,,,,
I004,Investment: Private equity firm specializing in urban development,I,Private equity firm specializing in urban development,Apply Investment,5500000,Any,,,5500000,
,false,,,,,,,,,
I005,Investment: Retired CEO investing personal wealth,I,Retired CEO investing personal wealth,Apply Investment,6000000,Any,,,6000000,
,false,,,,,,,,,
I006,Investment: Foreign investment group exploring US market,I,Foreign investment group exploring US market,Apply Investment,6500000,Any,,,6500000,
,false,,,,,,,,,
I007,Investment: Consortium of local businesses supporting community growth,I,Consortium of local businesses supporting community growth,Apply Investment,7000000,Any,,,7000000,
,false,,,,,,,,,
I008,Investment: Green energy fund investing in sustainable projects,I,Green energy fund investing in sustainable projects,Apply Investment,7500000,Any,,,7500000,
,false,,,,,,,,,
I009,Investment: Angel investor network pooling resources,I,Angel investor network pooling resources,Apply Investment,4000000,Any,,,4000000,
,false,,,,,,,,,
