space_name,visit_type,title,story,action_description,outcome_description,can_negotiate,end_turn_label,try_again_label
START-QUICK-PLAY-GUIDE,First,Quick Play Guide,Congratulations! You are hired as the project manager. In this row you will learn the relevant part of the story of the particular space.,This row will summarise the actions that may need to be done to progress the game.,And this row is items chosen by chance… but not always because you can reject lady luck and NEGOTIATE.,and if you really really really do not like your choices... Sometimes you can refuse them and just try again.,End Turn,Try Again
START-QUICK-PLAY-GUIDE,Subsequent,Strategy Guide,Now that you read the first column and know the rules - here is your strategy guide:,You just got hired by an owner. The 2 of you will dream up / design / review and build a project.,Strategise and pick the right dice rolls,Don't forget waiting 1 extra turn if the roll is really bad may be more advantageous.,End Turn,Try Again
OWNER-SCOPE-INITIATION,First,Owner Scope Initiation,I've been thinking about this project and I have a vision. Let me tell you what I have in mind.,Review the owner's scope proposal. Accept it or negotiate next turn.,,YES,End Turn,Try Again
OWNER-SCOPE-INITIATION,Subsequent,Owner Scope Renegotiation,"Fine, you want changes? I reworked the scope. Take it or leave it this time.",The owner presents a revised project path.,,NO,End Turn,Try Again
OWNER-FUND-INITIATION,First,Owner Funding Initiation,Let me look at the numbers. Here's what I'm willing to put up for this project.,Review the owner's funding offer. Accept it or negotiate next turn for a different amount.,Take Owner's Money,YES,End Turn,Try Again
OWNER-FUND-INITIATION,Subsequent,Owner Funding Renegotiation,You're pushing your luck. I ran the numbers again and this is my final offer.,The owner has revised the budget. Take it or leave it.,,NO,End Turn,Try Again
PM-DECISION-CHECK,First,PM Decision Check,As project manager your first decision is to determine the direction of project.,You and expeditor strategize and come up with some changes. Life happens and you choose a path forward.,,NO,End Turn,Try Again
PM-DECISION-CHECK,Subsequent,PM Decision Reassessment,You are a thinker and need to reassess the situation. What will you do next?,Your staff sees an opportunity at the competition and leaves you. Meanwhile life passes you by and you finally decide what to do next.,,NO,End Turn,Try Again
LEND-SCOPE-CHECK,First,Lender Scope Check,You need more money! - The lender reviews the business plan and negotiates scope for a better rate.,Scope negotiations last a while as life passes you by. Your expeditor comes up with an idea and the deal is struck!,,YES,End Turn,Try Again
LEND-SCOPE-CHECK,Subsequent,Lender Scope Renegotiation,Burning through the pile of cash is easier than you thought… Time to get some fresh dough.,More money = more staff scope and life changes.,,NO,End Turn,Try Again
BANK-FUND-REVIEW,First,Bank Funding Review,You wait patiently as the bank underwrites to determine the loan amount and rate.,Having money will allow you to hire and spend maybe even have a life.,,YES,End Turn,Try Again
BANK-FUND-REVIEW,Subsequent,Bank Funding Follow-up,You wait impatiently as the bank underwrites to determine the loan amount and rate.,It is late in the game - you are starting to lose credibility. Staff is leaving. Life is passing you by.,,NO,End Turn,Try Again
INVESTOR-FUND-REVIEW,First,Investor Funding Review,You wait patiently as the investors determine the loan amount and rate.,Having money will allow you to hire and spend maybe even have a life.,,YES,End Turn,Try Again
INVESTOR-FUND-REVIEW,Subsequent,Investor Funding Follow-up,You wait impatiently as the investors determine the loan amount and rate.,It is late in the game - you are starting to lose credibility. Staff is leaving. Life is passing you by.,,NO,End Turn,Try Again
ARCH-INITIATION,First,Architect Search,You begin the search for an architect. Phone calls and qualification reviews take time while others move ahead.,Outside influences may affect you while you search for the right architect.,,No,End Turn,Try Again
ARCH-INITIATION,Subsequent,Architect Redesign Review,Let me take another look at these drawings. Something may need to change.,The architect reviews the files. A redesign might be necessary.,,No,End Turn,Try Again
ARCH-FEE-REVIEW,First,Architect Fee Review,Architect negotiates their initial fees.,Everyone wants money from you! You paid a big chunk so now you have to save a little by cutting your staff.,,YES,End Turn,Try Again
ARCH-FEE-REVIEW,Subsequent,Architect Additional Fees,Architect negotiates additional architect fees.,You cross your fingers and wait for life to dump on you. You will need a friend in need.,,YES,End Turn,Try Again
ARCH-SCOPE-CHECK,First,Architect Scope Check,Architect's team finished their design. Today you are attending the final presentation.,The architect takes their time to get to the initial design scope determination.,,YES,End Turn,Try Again
ARCH-SCOPE-CHECK,Subsequent,Architect Design Review,Architect subsequent design review determination.,Roll for outcome.,,YES,End Turn,Try Again
ENG-INITIATION,First,Engineer Search,Time to find a structural engineer. More calls and credential checks while the project waits.,Outside influences may affect you while you search for the right engineer.,,NO,End Turn,Try Again
ENG-INITIATION,Subsequent,Engineer Redesign Review,I've been going over the structural calculations. We might need some changes here.,The engineer reviews the specs. Watch carefully for the verdict.,,YES,End Turn,Try Again
ENG-FEE-REVIEW,First,Engineer Fee Review,Engineer negotiates their initial fees.,Every penny counts - you get your best man involved.,,YES,End Turn,Try Again
ENG-FEE-REVIEW,Subsequent,Engineer Additional Fees,Engineer negotiates additional architect fees.,How do we make this sound like it is included in the original fee?,,YES,End Turn,Try Again
ENG-SCOPE-CHECK,First,Engineer Scope Check,Engineer's team finished their design. Time for another final presentation.,I am not building a rocket ship. Why is this taking so long? What will the design be?,,YES,End Turn,Try Again
ENG-SCOPE-CHECK,Subsequent,Engineer Design Review,Engineer subsequent design review determination.,The roll of drawings you got does not look any different. You wonder if there are changes.,,YES,End Turn,Try Again
OWNER-DECISION-REVIEW,First,Owner Decision Review,Some decisions require owners input. Especially when owner wants it THEIR WAY.,The owners ponder and tell you their plans.,,YES,End Turn,Try Again
OWNER-DECISION-REVIEW,Subsequent,Owner Follow-up Review,It has been a while since last review. Time is running out and owner just wants to see the finish line.,Impatiently the owners hear you out and come to a quick decision.,,YES,End Turn,Try Again
CHEAT-BYPASS,First,Cheat Bypass,Let's get this shit done at any cost! they said… So you are looking to cut a few days off the top.,You are nervous - the odds are not in your favor.,,No,End Turn,Try Again
CHEAT-BYPASS,Subsequent,Cheat Bypass Retry,Cheating last time did not go so well. You still want to try but are a lot more careful.,Review path and fees are determined by 1 dice roll.,,No,End Turn,Try Again
REG-DOB-FEE-REVIEW,First,DOB Fee Review,Owner pays DOB fees.,Fork over the cash…And hire a few staff.,,NO,End Turn,Try Again
REG-DOB-FEE-REVIEW,Subsequent,DOB Additional Fees,Determine if additional fees are due to Department of Buildings.,hope not to fork over more cash…And replace staff.,,YES,End Turn,Try Again
REG-DOB-TYPE-SELECT,First,DOB Path Selection,Project manager chooses (slow and low risk) or (fast and high risk) path at DOB.,You have a choice to say Plan Exam (slow) or Prof Cert (fast).,,NO,End Turn,Try Again
REG-DOB-TYPE-SELECT,Subsequent,DOB Processing Wait,Waiting for Clerks to process files or for appointment.,Hurry Up and Wait…,,NO,End Turn,Try Again
REG-DOB-PLAN-EXAM,First,DOB Plan Exam,Let me review these plans. I need to verify everything meets building code.,Wait for the examiner's determination. You can negotiate if the result is unfavorable.,,YES,End Turn,Try Again
REG-DOB-PLAN-EXAM,Subsequent,DOB Plan Re-exam,Back again? Let me take another quick look at the revised submissions.,The examiner reviews your resubmission. Approval or denial — stay quiet and wait.,,YES,End Turn,Try Again
REG-DOB-PROF-CERT,First,DOB Professional Certification,DOB Clerk almost notices your existence while processing your paperwork.,You chew your gum intently hoping no errors are done in data entry.,,No,End Turn,Try Again
REG-DOB-PROF-CERT,Subsequent,DOB Prof Cert Follow-up,DOB Clerk greets you by saying -You again?- and processes your paper work,You hope that this time the expeditor filled out the forms correctly… after all you paid almost a grand.,,No,End Turn,Try Again
REG-DOB-AUDIT,First,DOB Audit,Nerdy auditor cites from memory ZR-23.5 while auditing your application.,You got home after a long day at Department of Buildings and you find that your job was audited - where did we go wrong?,,YES,End Turn,Try Again
REG-DOB-AUDIT,Subsequent,DOB Audit Follow-up,Auditor notices the number of objections fixed and continues with audit.,We almost had it and now it is down to the last few objections. Will they pass?,,YES,End Turn,Try Again
REG-FDNY-FEE-REVIEW,First,FDNY Fee Review,FDNY Clerk checks to see if job review needs to be done.,You have to answer a maze of questions to get out of here.,,No,End Turn,Try Again
REG-FDNY-FEE-REVIEW,Subsequent,FDNY Fee Follow-up,FDNY Clerk checks to see if job review needs to be done.,Assess 4 criteria.,,No,End Turn,Try Again
REG-FDNY-PLAN-EXAM,First,FDNY Plan Exam,Plan examiner takes time to do first review.,You try to sound like you know the code and wait for their determination.,,YES,End Turn,Try Again
REG-FDNY-PLAN-EXAM,Subsequent,FDNY Plan Re-exam,Plan examiner rushes through the review.,You stay quiet and only speak when spoken to - which stamp will he use approval or denial?,,NO,End Turn,Try Again
