id,term,definition_simple,definition_technical,instructions,category,source,needs_review,aliases,related_terms,image_url,video_url,source_url,instagram_link,last_used_as_wotd,why_it_matters,related_documents,game_card_id,game_space_id,timestamp
easter-egg,. easter egg,Thank you ,"This is here to thank all those who inspired, helped and supported me. I tried not to misspell and tried not to forget anyone. In alphabetical order.
Agnieszka Mergo-Bielecka
Filip Bielecki
Helen Ko
Karolina Bielecka
Kasper Bielecki
Kayla Hom
Nicole Bass
Sara Korapati
Stanislawa Cora-Bielecka
Oscar Wormuth
Victoria Reshetnikov
Waclaw Bielecki","1 ask a question
2 get an answer
3 thank them a lot",Professionals,game,False,Friends|Thanks|Thank you|Inspire|Help|support|,Friends|Thanks|Thank you|Inspire|Help|support|,,https://youtu.be/dQw4w9WgXcQ?si=xtmgYTZhlN1R4jxZ,https://www.stresslesscountry.com/thankvolunteers/,https://www.instagram.com/popular/thank-you/,,If I do not say it people will get mad at me. ,Thank You Cards | Flowers,all,All,
acris,ACRIS,"The city's online library where you can find all the public records for a property, like who bought it and for how much.","Automated City Register Information System - allows you to search property records and view document images for Manhattan, Queens, Bronx, and Brooklyn from 1966 to the present.",,Agencies,iqarius | AI Generated,True,Automated City Register Information System,dob|bis,https://iqarius.com/wp-content/uploads/2024/12/ACRIS.jpg,,,,,Essential for checking if a house has any hidden legal problems or 'liens' before you buy it.,,,,
advertising-sign,Advertising Sign,,A sign showing goods or services available somewhere other than where the sign is erected. Largely prohibited in NYC residential areas. Small non-commercial signs (up to 12 sq ft for Sale/Rent) are permitted.,,Legal,iqarius,False,signage,zoning|violation|commercial,,,,,,,,,,
after-hours-work,After Hours Work,,"Construction or renovation work done before 7:00 AM or after 6:00 PM on weekdays, or anytime on weekends. Requires an After Hours Variance (AHV) permit.",,Processes,iqarius,False,AHV|After Hours Variance,permit|violation,,,,,,,,,,
alteration,Alteration,,"A construction project that results in a new Certificate of Occupancy. Types: Type I (major CO changes like use conversions), Type II (multiple trades without use change), Type III (minor work like curb cuts). Work that doesn't trigger a new CO is classified as renovation instead.",,Construction,iqarius,False,Alt1|Alt2|Alt3,renovation|permit|certificate-of-occupancy,,,,https://www.instagram.com/unravelcodes/,,,,,,
apartment-building,Apartment Building,,"A residential building containing four or more dwelling units, each with access to above-grade common halls, stairs, elevators, and yards.",,Construction,iqarius,False,multifamily|multi-family,residential|dwelling,https://iqarius.com/wp-content/uploads/2025/11/apartment-building-350-260.jpg,,,,,,,,,
applicant-of-record,Applicant of Record,,A licensed professional like an architect or engineer who files construction plans with the city and ensures work meets all laws and codes.,,Professionals,iqarius,False,AOR,architect|engineer|filing,,,,https://www.instagram.com/unravelcodes/,,,,,,
architect,Architect,,"A licensed professional who designs buildings and oversees construction projects. They create drawings, specifications, and ensure designs meet building codes.",,Professionals,iqarius,False,,engineer|contractor|design,,,,https://www.instagram.com/unravelcodes/,,,,,,
asbestos,Asbestos,,"A hazardous building material once commonly used for insulation and fireproofing. Inhaling fibers can cause lung cancer, mesothelioma, and asbestosis (effects appear 10-50 years later). Intact asbestos presents minimal danger, but disruption during renovations significantly increases hazards.",,Construction,iqarius,False,,violation|inspection|remediation,https://iqarius.com/wp-content/uploads/2025/12/asbestos.jpg,,,https://www.instagram.com/unravelcodes/,,,,,,
attic-renovation,Attic Renovation,,"Converting attic space into habitable living area. Requires proper permits, egress windows, ceiling height, and may require structural reinforcement.",,Construction,iqarius,False,,renovation|permit|alteration,,,,,,,,,,
