space_name,visit_type,title,story,action_description,outcome_description,can_negotiate,end_turn_label,try_again_label,shake_on,tts_field
START-QUICK-PLAY-GUIDE,First,Quick Play Guide,Congratulations! You are hired as the project manager. In this row you will learn the relevant part of the story of the particular space.,This row will summarise the actions that may need to be done to progress the game.,And this row is items chosen by chance… but not always because you can reject lady luck and NEGOTIATE.,and if you really really really do not like your choices... Sometimes you can refuse them and just try again.,End Turn,Try Again,negative,story
START-QUICK-PLAY-GUIDE,Subsequent,Strategy Guide,Now that you read the first column and know the rules - here is your strategy guide:,You just got hired by an owner. The 2 of you will dream up / design / review and build a project.,Strategise and pick the right dice rolls,Don't forget waiting 1 extra turn if the roll is really bad may be more advantageous.,End Turn,Try Again,negative,story
OWNER-SCOPE-INITIATION,First,The owner walks you through it,"Sit down. I've been turning this project over for months — let me walk you through what I want built. You're going to hear it from me first, before anyone else gets a say.","Lock the scope as offered, or push back and revisit tomorrow.",Scope is locked. Funding next.,YES,Lock the scope,Push back,negative,summary
OWNER-FUND-INITIATION,First,The owner opens the books,"Here's what I'm putting in — {fundingAmount}. Look it over. I'm not negotiating against myself — but if you've got a real reason to push back, I'll hear it.","Take the check, or push for more and revisit tomorrow.",Owner's funding is in. Starting budget is set.,YES,Take the check,Push for more,,story
PM-DECISION-CHECK,First,I pick a direction,"I'm picking a direction. Expeditor and I have talked it through, but the call's mine. Time to commit.","Trim the team, see how the days shake out, commit to a path.",Direction set. Tomorrow I move on it.,NO,Move forward,Try Again,negative,summary
PM-DECISION-CHECK,Subsequent,I rethink the plan,"Rethinking the plan. Life's moving fast, my staff's restless, and the first try didn't pan out.",A staff member quits for a better gig. Days pass. Commit to a new plan.,New direction locked. Time to act.,NO,Commit to the new plan,Try Again,negative,story
LEND-SCOPE-CHECK,First,I'm flipping through your plan,"Sit down. I've got your plan in front of me — let's see if it holds up. I'll cut you a rate, but I want my pound of flesh on the scope first.","Negotiate scope and rate. Lock in the terms, or push for better.",Terms agreed. On to the bank.,YES,Lock the scope,Push for better terms,negative,summary
LEND-SCOPE-CHECK,Subsequent,You again. Already.,"You're back. Cash didn't last? Sit down — I'll listen, but the warmth's gone. This round it's whatever I'm willing to put up. You take it.",Re-pitch the ask. Take whatever the lender offers this time.,New ask on the table.,NO,Take what they're offering,Try Again,negative,summary
BANK-FUND-REVIEW,First,We're underwriting your file,"We've got your file. Underwriting will work the numbers — amount, rate, timeline. We'll come back with terms. Standard process. Sit tight.","Sign the loan terms, or push for a lower rate.",Loan approved at the bank's terms. Money incoming.,YES,Sign the loan,Push for a lower rate,,story
BANK-FUND-REVIEW,Subsequent,We see you're back,You're back with us. We've already underwritten this project once for {fundingAmount} — second pass means a closer look and a tighter rate. Patience is shorter on this side too.,"A banker stops returning your calls. Take the revised loan, whatever it looks like.",New terms in hand. Whatever they are.,NO,Take the revised loan,Try Again,,story
