space_name,phase,visit_type,Title,Event,Action,Outcome,w_card,b_card,i_card,l_card,e_card,Time,Fee,space_1,space_2,space_3,space_4,space_5,Negotiate,requires_dice_roll,path,rolls,end_turn_label,try_again_label,w_card_label,b_card_label,i_card_label,l_card_label,e_card_label,shake_on,tts_field,w_card_narrative,b_card_narrative,i_card_narrative,l_card_narrative,e_card_narrative,is_starting_space,is_resume_hub,is_point_of_no_return,min_w_cards_to_leave,fee_calculation_method,fee_label,auto_apply_funding,auto_trigger_card_types,path_choice_memory_key,is_path_choice_lock_point,display_label_override,review_loop_message,pos_x,pos_y,funding_source,has_final_review_gate,approval_role,npc_speaker,fee_category
START-QUICK-PLAY-GUIDE,OWNER,First,Quick Play Guide,Congratulations! You are hired as the project manager. In this row you will learn the relevant part of the story of the particular space.,This row will summarise the actions that may need to be done to progress the game.,And this row is items chosen by chance… but not always because you can reject lady luck and NEGOTIATE.,The scope of work is W cards. Here you learn how to add remove or change scope. Just remember 20% design fee is the max.,You can not build if you do not have $ - Bank will lend you a little $ rather quickly and at a low rate.,You can not build if you do not have $ - Investor will lend you a lot of $ rather slowly and at a higher rate.,In real life shit happens all the time. In this game it only happens here.,Once in a while you may want specialized help. It is available in this row. But will it help you or hinder you.,Time is $ and time is always ticking here. So keep your eye out on this space.,Of course to get things unstuck or get things done at all - you have to pay people up front. Watch this trickle so it does not become a flood.,Lastly you may have choices of where to go next.,These are alternative paths available to you.,Some spaces offer 3-5 different next destinations.,Choose wisely as each path affects your strategy.,Some spaces require special conditions to unlock paths.,and if you really really really do not like your choices... Sometimes you can refuse them and just try again.,No,none,,,,,,,,,negative,story,,,,,,,,,,,,,,,,Quick Play,,20,240,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START-QUICK-PLAY-GUIDE,OWNER,Subsequent,Strategy Guide,Now that you read the first column and know the rules - here is your strategy guide:,You just got hired by an owner. The 2 of you will dream up / design / review and build a project.,Strategise and pick the right dice rolls,while being aware of the 20% design fee limit.,Watch out how much you borrow,and from whom. Bank offers quick small loans at low rates.,Beware that in the meantime life happens,so don't forget to use your Expeditor help. Investor offers large loans at higher rates but takes longer.,and try to do it as quickly as possible.,Pay attention to fees - they accumulate quickly,and choose the most advantageous path to win.,Each space offers different movement options.,Plan your route based on your current resources.,Some paths are faster but riskier.,Others are safer but take more time.,Don't forget waiting 1 extra turn if the roll is really bad may be more advantageous.,No,none,,,,,,,,,negative,story,,,,,,,,,,,,,,,,Quick Play,,20,240,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER-SCOPE-INITIATION,OWNER,First,The owner walks you through it,"Sit down. I've been turning this project over for months — let me walk you through what I want built. You're going to hear it from me first, before anyone else gets a say.","Lock the scope as offered, or push back and revisit tomorrow.",Scope is locked. Funding next.,,,,,Draw 3,1 day,,OWNER-FUND-INITIATION,,,,,YES,Yes,Main,1,Lock the scope,Push back,,,,,,negative,summary,,,,,I'm handing you a stack of contacts — expeditors I've worked with before. Take all three; you'll need every one of them before this project is done.,Yes,,,1,,,,,,,Meet the Owner,,20,130,,,,,
,Agree with Owner,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER-FUND-INITIATION,OWNER,First,The owner opens the books,"Here's what I'm putting in — {fundingAmount}. Look it over. I'm not negotiating against myself — but if you've got a real reason to push back, I'll hear it.","Take the check, or push for more and revisit tomorrow.",Owner's funding is in. Starting budget is set.,,,,,,1 day,,PM-DECISION-CHECK,,,,,YES,No,Main,,Take the check,Push for more,,,,,,,story,,,,,,,,,,,,Yes,"B,I",,,Owner's Money,,20,20,owner,,,,
,Agree with Owner,Negotiate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM-DECISION-CHECK,OWNER,First,I pick a direction,"I'm picking a direction. Expeditor and I have talked it through, but the call's mine. Time to commit.","Trim the team, see how the days shake out, commit to a path.",Direction set. Tomorrow I move on it.,,,,Draw 1 if you roll a 1,Replace 1,5 days,,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,,,NO,Yes,Special,,Move forward,,,,,,,negative,summary,,,,,,,Yes,,,,,,,,,Pick Your Path,,220,240,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM-DECISION-CHECK,OWNER,Subsequent,I rethink the plan,"Rethinking the plan. Life's moving fast, my staff's restless, and the first try didn't pan out.",A staff member quits for a better gig. Days pass. Commit to a new plan.,New direction locked. Time to act.,,,,Draw 1 if you roll a 2,The person to your right takes a card.,5 days,,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,OWNER-DECISION-REVIEW,,NO,No,Special,,Commit to the new plan,,,,,,,negative,story,,,,,,,Yes,,,,,,,,,Pick Your Path,,220,240,,PM,,PM,
,End Turn,Try Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEND-SCOPE-CHECK,FUNDING,First,I'm flipping through your plan,"Sit down. I've got your plan in front of me — let's see if it holds up. I'll cut you a rate, but I want my pound of flesh on the scope first.","Negotiate scope and rate. Lock in the terms, or push for better.",Terms agreed. On to the bank.,,,,Draw 1 if you roll a 3,Draw 1,5 days,,BANK-FUND-REVIEW,INVESTOR-FUND-REVIEW,,,,YES,Yes,Side quest money,1,Lock the scope,Push for better terms,,,,,,negative,summary,,,,,,,,,,,,,,,,Lender Review,,420,240,,,,,
